date,lat,lon,frp,confidence,night,satellite
2015-02-23,60.28632,22.29089,7,102,False,N
2015-04-27,60.29922,25.52563,19,102,False,N
2015-05-07,64.64642,24.43213,13,102,False,N
2015-06-04,60.30914,25.53019,59,102,False,N
2015-06-19,60.79221,23.41985,2,102,False,N
2015-07-02,60.31101,25.52836,14,102,False,N
2015-08-11,64.6424,24.42685,17,102,False,N
2015-08-14,60.2759,25.27265,5,102,False,N
2015-08-19,61.02853,28.17457,8,102,False,N
2015-08-26,64.65471,24.42888,42,102,False,N
2015-10-05,60.28732,22.29041,15,102,False,N
2016-05-04,60.81755,26.51325,31,102,False,N
2016-05-07,61.96973,22.44804,73,102,False,N
2016-06-10,60.28833,22.29476,23,102,False,N
2016-06-12,65.7673,24.17858,14,102,False,N
2016-08-30,60.28796,22.28542,18,102,False,N
2016-09-14,64.64568,24.42813,16,102,False,N
2017-01-19,65.76414,26.05529,8,102,False,N
2017-01-31,64.65484,24.42905,17,102,False,N
2017-04-20,60.2864,22.28846,18,102,False,N
2017-04-24,62.07419,30.24984,54,102,False,N
2017-05-04,60.75413,26.59617,235,103,False,N
2017-05-25,60.89003,24.57409,38,102,False,N
2017-05-26,64.63997,24.43318,16,101,False,N
2017-05-29,65.7048,24.71401,5,102,False,N
2017-06-04,64.64996,24.43021,32,102,False,N
2017-06-14,63.39561,23.24836,29,102,False,N
2017-06-29,60.29829,25.52042,101,102,False,N
2017-08-01,64.64477,24.42421,68,103,False,N
2017-08-05,64.64592,24.42497,18,102,False,N
2017-08-15,64.64821,24.42817,20,102,False,N
2017-08-22,60.28629,22.29518,21,102,False,N
2017-08-23,60.3008,25.52447,22,102,False,N
2017-09-07,65.76608,24.1829,15,102,False,N
2017-09-18,60.28725,22.29416,23,102,False,N
2017-09-24,64.64675,24.42949,10,102,False,N
2017-10-03,64.6464,24.42713,19,102,False,N
2017-10-31,60.29777,25.5287,38,102,False,N
2017-11-06,65.7708,24.18474,8,102,False,N
2018-01-26,60.28779,22.29257,7,102,True,N
2018-02-24,60.29275,25.487,52,101,True,N
2018-04-23,60.65112,23.45032,113,102,False,N
2018-05-07,60.65138,23.65856,34,102,False,N
2018-05-14,60.28655,22.28826,22,102,True,N
2018-06-16,61.57218,23.95798,66,102,False,N
2018-07-09,60.28909,22.28857,17,102,True,N
2018-07-14,62.81382,24.17432,106,102,False,N
2018-07-21,64.6438,24.42846,4,102,True,N
2018-07-22,60.51153,22.33585,15,102,False,N
2018-07-25,64.64677,24.43198,77,101,False,N
2018-07-30,65.77184,24.1841,17,102,True,N
2018-08-12,64.65475,24.4296,11,102,True,N
2018-08-29,60.28638,22.29082,11,102,True,N
2018-10-01,64.64772,24.42658,24,102,True,N
2018-10-15,62.2771,23.3976,36,102,True,N
2018-10-01,65.76471,24.18823,2791,101,False,N
2018-11-02,64.644,24.42355,26,102,True,N
2019-01-11,64.64464,24.42934,19,102,True,N
2019-01-12,64.64543,24.42468,39,102,False,N
2019-04-05,60.89105,26.82514,83,102,False,N
2019-04-16,60.84322,23.16755,146,102,False,N
2019-04-19,60.83345,26.48645,22,102,False,N
2019-04-27,64.64429,24.42701,21,102,True,N
2019-05-13,60.28455,22.29282,18,102,True,N
2019-06-08,61.02834,28.17325,6,102,True,N
2019-06-14,64.64547,24.43013,19,102,True,N
2019-08-13,61.16747,28.62696,6,102,True,N
2019-09-03,64.64227,24.42834,18,102,True,N
2019-09-06,64.6448,24.42889,14,102,True,N
2019-09-11,60.45403,22.07511,14,102,True,N
2019-11-03,60.28729,22.2895,11,102,True,N
2020-01-08,60.28294,22.2913,6,102,True,N
2020-03-11,64.64641,24.42671,15,102,True,1
2020-03-14,64.64718,24.43535,13,102,True,N
2020-03-08,64.64383,24.4287,29,102,True,N
