date,fmisid,station_lat,station_lon,temperature,humidity,wind_speed,precipitation,fire
2015-02-23,100947,60.37788,22.0964,2.04,86.46,8.53,,1
2015-04-27,100683,60.303725,25.549164,4.98,99.0,2.14,,1
2015-05-07,101785,64.66589,24.40695,11.87,78.12,5.51,,1
2015-06-04,100683,60.303725,25.549164,13.42,54.83,6.09,,1
2015-06-19,101104,60.813972,23.49825,12.7,86.75,3.58,5.8,1
2015-07-02,100683,60.303725,25.549164,16.48,73.54,3.55,,1
2015-08-11,101785,64.66589,24.40695,18.02,77.04,4.51,,1
2015-08-26,101785,64.66589,24.40695,18.13,76.38,4.17,,1
2015-10-05,100947,60.37788,22.0964,8.3,69.96,5.86,,1
2016-05-04,101194,60.6965,26.811056,13.5,55.38,,0.0,1
2016-05-07,101291,61.838642,22.463678,12.91,50.92,2.47,0.0,1
2016-06-10,100947,60.37788,22.0964,10.29,66.42,3.98,,1
2016-06-12,101851,65.868932,24.179364,11.05,63.42,1.5,0.0,1
2016-08-30,100947,60.37788,22.0964,14.23,82.62,5.7,,1
2016-09-14,101785,64.66589,24.40695,11.27,85.0,5.45,,1
2017-01-19,101873,65.977172,26.367571,-0.93,75.88,6.05,0.5,1
2017-01-31,101785,64.66589,24.40695,-2.83,88.88,5.28,,1
2017-04-20,100947,60.37788,22.0964,3.66,83.25,8.67,,1
2017-04-24,101459,62.23539,30.34662,0.8,82.08,,0.3,1
2017-05-04,101194,60.6965,26.811056,6.71,53.92,,0.0,1
2017-05-25,101150,60.999201,24.491625,13.36,55.58,4.3,0.0,1
2017-05-26,101785,64.66589,24.40695,6.85,63.54,6.83,,1
2017-05-29,101846,65.67318,24.515193,5.18,68.0,6.71,,1
2017-06-04,101785,64.66589,24.40695,5.87,71.58,4.02,,1
2017-06-14,101503,63.120333,23.043639,14.45,48.0,3.96,0.0,1
2017-06-29,100683,60.303725,25.549164,15.48,61.96,4.37,,1
2017-08-01,101785,64.66589,24.40695,16.1,85.21,8.82,,1
2017-08-05,101785,64.66589,24.40695,14.52,84.83,5.88,,1
2017-08-15,101785,64.66589,24.40695,15.21,68.88,5.84,,1
2017-08-22,100947,60.37788,22.0964,15.51,82.42,4.27,,1
2017-08-23,100683,60.303725,25.549164,14.1,82.46,4.76,,1
2017-09-07,101851,65.868932,24.179364,8.45,83.42,1.97,0.0,1
2017-09-18,100947,60.37788,22.0964,10.2,79.62,5.31,,1
2017-09-24,101785,64.66589,24.40695,10.87,90.17,3.12,,1
2017-10-03,101785,64.66589,24.40695,7.55,85.21,7.9,,1
2017-10-31,100683,60.303725,25.549164,0.02,73.67,7.52,,1
2017-11-06,101851,65.868932,24.179364,2.7,96.0,3.35,10.6,1
2018-01-26,100947,60.37788,22.0964,3.1,89.92,5.75,,1
2018-02-24,100683,60.303725,25.549164,-14.55,78.75,4.02,,1
2018-04-23,101104,60.813972,23.49825,4.44,67.62,3.94,0.1,1
2018-05-07,101128,60.64668,23.80559,13.64,71.38,3.1,0.0,1
2018-05-14,100947,60.37788,22.0964,17.22,61.5,2.12,,1
2018-06-16,101311,61.517566,23.753878,17.0,57.04,3.31,,1
2018-07-09,100947,60.37788,22.0964,17.87,74.67,2.48,,1
2018-07-14,101520,62.554614,24.142386,20.4,73.29,0.9,,1
2018-07-21,101785,64.66589,24.40695,23.05,72.38,4.38,,1
2018-07-25,101785,64.66589,24.40695,23.22,66.0,2.62,,1
2018-07-30,101851,65.868932,24.179364,23.64,66.46,2.18,0.0,1
2018-08-12,101785,64.66589,24.40695,15.78,69.21,8.09,,1
2018-08-29,100947,60.37788,22.0964,17.17,75.79,3.8,,1
2018-10-01,101785,64.66589,24.40695,7.6,83.83,6.36,,1
2018-10-15,101310,62.327833,23.542283,12.66,80.58,4.53,,1
2018-10-01,101851,65.868932,24.179364,3.27,88.08,1.33,0.0,1
2018-11-02,101785,64.66589,24.40695,1.9,97.58,5.63,,1
2019-01-11,101785,64.66589,24.40695,1.78,78.08,14.03,,1
2019-01-12,101785,64.66589,24.40695,-0.16,67.92,11.73,,1
2019-04-05,101191,60.898392,26.948819,5.22,51.83,2.43,,1
2019-04-16,101104,60.813972,23.49825,6.06,56.08,2.15,0.0,1
2019-04-19,101194,60.6965,26.811056,8.88,55.83,,0.0,1
2019-04-27,101785,64.66589,24.40695,6.23,67.5,5.12,,1
2019-05-13,100947,60.37788,22.0964,6.52,68.92,5.83,,1
2019-06-14,101785,64.66589,24.40695,14.93,60.04,4.73,,1
2019-08-13,101252,61.1982,28.47308,17.1,82.38,4.96,,1
2019-09-03,101785,64.66589,24.40695,13.87,78.88,5.75,,1
2019-09-06,101785,64.66589,24.40695,13.27,76.54,11.53,,1
2019-09-11,100949,60.454391,22.178695,15.78,87.71,5.15,8.1,1
2019-11-03,100947,60.37788,22.0964,3.25,92.29,4.51,,1
2020-01-08,100947,60.37788,22.0964,5.67,88.21,11.65,,1
2020-03-11,101785,64.66589,24.40695,2.25,89.04,4.47,,1
2020-03-14,101785,64.66589,24.40695,-4.41,65.5,7.64,,1
2020-03-08,101785,64.66589,24.40695,1.26,81.08,9.33,,1
2020-04-18,100947,60.37788,22.0964,4.6,64.17,8.94,,1
2020-04-26,101572,63.143426,27.313171,1.32,69.38,3.98,0.0,1
2020-04-21,101151,61.114537,24.324488,8.97,56.42,,0.0,1
2020-05-26,101028,60.391715,25.607297,17.15,43.29,2.37,0.0,1
2020-05-22,101528,63.44564,24.44422,8.6,50.83,1.01,,1
2020-05-09,101065,60.515647,22.279155,6.37,54.29,3.19,,1
2020-06-04,101636,63.321083,30.045778,14.59,61.33,2.41,0.2,1
2020-06-12,100683,60.303725,25.549164,17.92,54.75,4.98,,1
2020-06-01,101118,61.419402,23.622561,17.21,57.12,2.85,,1
2020-06-13,100947,60.37788,22.0964,17.47,65.67,3.25,,1
2020-06-25,101609,63.23236,29.23397,22.85,57.33,2.02,0.5,1
2020-07-02,101785,64.66589,24.40695,13.59,60.33,6.6,,1
2020-07-06,100947,60.37788,22.0964,16.12,76.38,13.04,,1
2020-07-17,137208,62.393322,25.688617,19.22,60.46,1.71,0.0,1
2020-07-18,100947,60.37788,22.0964,19.81,76.21,5.57,,1
2020-07-18,101726,63.840899,27.220614,19.98,62.17,3.37,0.0,1
2020-07-30,101196,61.200083,26.049667,15.24,83.33,,0.9,1
2020-07-31,101237,61.040298,28.129162,14.99,75.29,4.52,,1
2020-08-06,101851,65.868932,24.179364,16.66,81.12,2.55,0.0,1
2020-08-09,100947,60.37788,22.0964,20.5,76.04,6.09,,1
2020-08-18,100947,60.37788,22.0964,18.44,77.5,3.35,,1
2020-08-24,101851,65.868932,24.179364,13.52,70.08,2.62,0.0,1
2020-08-26,101609,63.23236,29.23397,11.12,82.88,1.32,4.5,1
2020-09-07,101237,61.040298,28.129162,11.95,85.92,2.01,,1
2020-09-12,100947,60.37788,22.0964,14.52,83.33,9.58,,1
2020-09-21,101785,64.66589,24.40695,11.12,80.08,15.06,,1
2020-10-03,101851,65.868932,24.179364,8.3,91.29,2.04,0.0,1
2020-10-04,101851,65.868932,24.179364,6.67,94.42,2.2,0.0,1
2020-10-14,101785,64.66589,24.40695,4.65,77.75,4.83,,1
2020-10-15,101851,65.868932,24.179364,2.56,84.42,1.99,0.0,1
2020-10-17,101660,63.75144,22.52282,7.48,79.25,11.08,,1
2020-10-17,101690,64.05029,24.72468,4.88,94.12,3.92,0.5,1
2020-11-09,100683,60.303725,25.549164,4.66,81.5,4.92,,1
2020-11-15,101726,63.840899,27.220614,0.63,93.42,5.37,0.0,1
2020-11-20,100683,60.303725,25.549164,0.63,85.54,5.23,,1
2020-11-22,100683,60.303725,25.549164,6.45,81.17,3.72,,1
2020-11-25,100683,60.303725,25.549164,2.8,96.79,6.06,,1
2021-01-12,101785,64.66589,24.40695,-11.38,79.12,8.39,,1
2021-03-31,101785,64.66589,24.40695,1.25,83.92,7.55,,1
2021-04-01,100947,60.37788,22.0964,3.01,77.25,5.67,,1
2021-04-01,101785,64.66589,24.40695,0.79,85.67,6.12,,1
2021-04-18,100947,60.37788,22.0964,8.58,52.79,3.9,,1
2021-04-21,100683,60.303725,25.549164,5.76,73.25,,,1
2021-05-12,101191,60.898392,26.948819,19.05,38.67,4.32,,1
2021-05-29,101785,64.66589,24.40695,6.55,66.83,5.58,,1
2021-05-30,101785,64.66589,24.40695,8.29,70.62,6.13,,1
2021-06-08,100683,60.303725,25.549164,17.81,67.33,2.75,,1
2021-06-09,101785,64.66589,24.40695,17.74,69.75,2.45,,1
2021-06-11,100683,60.303725,25.549164,19.29,64.17,3.11,,1
2021-06-12,101959,66.816596,28.688292,19.65,47.25,5.48,0.0,1
2021-06-13,100947,60.37788,22.0964,14.55,67.0,9.07,,1
2021-07-05,137208,62.393322,25.688617,22.88,53.21,2.32,0.0,1
2021-07-09,101785,64.66589,24.40695,19.49,71.46,2.85,,1
2021-07-11,101237,61.040298,28.129162,25.9,54.25,3.35,,1
2021-07-12,101785,64.66589,24.40695,20.18,78.08,6.1,,1
2021-07-13,100947,60.37788,22.0964,23.63,65.33,2.22,,1
2021-07-19,100947,60.37788,22.0964,16.77,63.62,7.09,,1
2021-07-22,101061,61.14475,21.30273,15.92,78.92,8.8,,1
2021-07-26,101785,64.66589,24.40695,19.09,83.5,3.85,,1
2021-07-27,101689,63.821333,24.163233,20.12,64.96,1.43,0.0,1
2021-07-29,101689,63.821333,24.163233,19.05,74.58,3.35,2.3,1
2021-08-04,101851,65.868932,24.179364,13.76,63.33,2.02,0.2,1
2021-08-31,100947,60.37788,22.0964,15.05,77.0,5.1,,1
2021-08-31,101726,63.840899,27.220614,12.24,76.79,2.86,0.0,1
2021-09-01,101785,64.66589,24.40695,11.57,69.5,8.46,,1
2021-09-08,101785,64.66589,24.40695,11.76,86.71,8.51,,1
2021-09-09,101785,64.66589,24.40695,10.38,84.17,4.44,,1
2021-09-28,101785,64.66589,24.40695,9.82,78.29,3.55,,1
2021-09-29,101785,64.66589,24.40695,7.9,81.83,4.55,,1
2021-10-03,100947,60.37788,22.0964,11.75,80.25,9.21,,1
2021-11-11,101785,64.66589,24.40695,4.42,83.96,8.72,,1
2021-12-22,101785,64.66589,24.40695,-7.08,86.04,7.44,,1
2022-01-07,101851,65.868932,24.179364,-13.76,87.42,2.08,0.0,1
2022-02-18,100947,60.37788,22.0964,-0.78,87.05,6.3,,1
2022-04-11,100683,60.303725,25.549164,4.62,68.54,4.8,,1
2022-04-17,100947,60.37788,22.0964,3.65,81.29,3.42,,1
2022-04-24,100947,60.37788,22.0964,5.82,61.09,7.08,,1
2022-04-25,101785,64.66589,24.40695,2.27,77.92,3.27,,1
2022-04-28,100947,60.37788,22.0964,3.74,72.96,6.12,,1
2022-05-03,101851,65.868932,24.179364,0.77,54.83,4.15,0.0,1
2022-05-08,101785,64.66589,24.40695,1.86,80.21,6.06,,1
2022-05-28,101851,65.868932,24.179364,8.8,74.08,1.43,0.0,1
2022-06-29,101662,63.726552,23.143592,25.02,55.38,3.77,,1
2022-07-03,137188,62.685713,22.842723,19.4,65.71,3.33,,1
2022-07-15,100683,60.303725,25.549164,15.38,74.0,3.66,,1
2022-07-28,101252,61.1982,28.47308,16.76,80.17,4.76,,1
2022-08-04,100947,60.37788,22.0964,20.3,83.9,7.23,,1
2022-08-09,101851,65.868932,24.179364,15.18,82.17,3.23,0.1,1
2022-08-03,101851,65.868932,24.179364,14.79,89.71,3.48,9.0,1
2022-08-14,100947,60.37788,22.0964,20.31,76.46,3.49,,1
2022-08-09,101660,63.75144,22.52282,,,6.1,,1
2022-08-16,101194,60.6965,26.811056,22.95,71.92,,0.0,1
2022-08-26,101660,63.75144,22.52282,,,3.78,,1
2022-08-28,101785,64.66589,24.40695,15.62,70.08,6.04,,1
2022-09-08,101315,61.855507,24.804592,5.63,77.33,1.51,0.0,1
2022-10-24,100947,60.37788,22.0964,4.53,78.92,3.16,,1
2023-03-29,100683,60.303725,25.549164,-3.31,72.62,4.31,,1
2023-04-20,100947,60.37788,22.0964,6.52,70.62,2.92,,1
2023-04-08,101785,64.66589,24.40695,-0.02,86.12,4.48,,1
2023-04-10,101785,64.66589,24.40695,2.69,72.25,3.58,,1
2023-04-15,101785,64.66589,24.40695,2.5,36.62,4.27,,1
